# Portcard 		 FEC 	 tkFEC 		 ring 	 ccu 	 I2C_channel 	 Module 			 POH 	 module_channel 	 FED
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD4		 A1 	 14 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR1F_MOD4		 A2 	 14 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD1		 A1 	 23 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD1		 A2 	 23 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD2		 A1 	 24 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD2		 A2 	 24 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD3		 A1 	 21 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD3		 A2 	 21 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD4		 A1 	 22 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR3_LDR2F_MOD4		 A2 	 22 			 1262
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD1		 A1 	 3 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD1		 A2 	 3 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD2		 A1 	 4 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD2		 A2 	 4 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD3		 A1 	 1 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD3		 A2 	 1 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD4		 A1 	 2 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR1F_MOD4		 A2 	 2 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD1		 A1 	 7 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD1		 A2 	 7 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD2		 A1 	 8 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD2		 A2 	 8 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD3		 A1 	 5 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD3		 A2 	 5 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD4		 A1 	 6 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR2F_MOD4		 A2 	 6 			 1260
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD1		 A1 	 10 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD1		 A2 	 10 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD2		 A1 	 9 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD2		 A2 	 9 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD3		 A1 	 12 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD3		 A2 	 12 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD4		 A1 	 11 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR3F_MOD4		 A2 	 11 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD1		 A1 	 18 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD1		 A2 	 18 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD2		 A1 	 17 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD2		 A2 	 17 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD3		 A1 	 20 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD3		 A2 	 20 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD4		 A1 	 19 			 1261
BPix_BmO_SEC1_PRT2 	 6 	 tkfec2 	 0x2 	 0x77 	 0x13 	 BPix_BmO_SEC1_LYR4_LDR4F_MOD4		 A2 	 19 			 1261
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1H_MOD1		 A1 	 3 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1H_MOD1		 A2 	 3 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1H_MOD1		 B1 	 4 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1H_MOD1		 B2 	 4 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1F_MOD1		 A1 	 2 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1F_MOD1		 A2 	 2 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1F_MOD1		 B1 	 1 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR1F_MOD1		 B2 	 1 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD3		 A1 	 12 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD3		 A2 	 12 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD3		 B1 	 11 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD3		 B2 	 11 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD3		 A1 	 10 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD3		 A2 	 10 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD3		 B1 	 9 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD3		 B2 	 9 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD4		 A1 	 23 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD4		 A2 	 23 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD4		 B1 	 24 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2H_MOD4		 B2 	 24 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD4		 A1 	 21 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD4		 A2 	 21 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD4		 B1 	 22 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR1_LDR2F_MOD4		 B2 	 22 			 1264
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD1		 A1 	 8 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD1		 A2 	 8 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD1		 B1 	 7 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD1		 B2 	 7 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD2		 A1 	 5 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD2		 A2 	 5 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD2		 B1 	 6 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD2		 B2 	 6 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD3		 A1 	 13 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD3		 A2 	 13 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD3		 B1 	 14 			 1263
BPix_BmO_SEC2_PRT1 	 6 	 tkfec2 	 0x2 	 0x78 	 0x11 	 BPix_BmO_SEC2_LYR2_LDR3F_MOD3		 B2 	 14 			 1263
